title,description,source,published_at,url,city,ingested_at
Study on fold formation mechanism and process optimization in multi-directional die forged valve bodies,"Fold defects represent a prevalent and detrimental issue in the multi-directional die forging of complex valve bodies, often resulting in product rejection and increased manufacturing costs. In this study, a three-dimensional thermo-mechanical coupled finite …",Plos.org,2025-12-26T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337844,Delhi,2025-12-27T14:03:30.748590+00:00
Thermal power plants’ FY25 biomass shortfall due to supply challenges,"Thermal power plants face biomass shortfall in FY25 due to supply challenges, despite efforts to improve compliance and sustainability.",BusinessLine,2025-12-26T13:47:28Z,https://www.thehindubusinessline.com/news/thermal-power-plants-fy25-biomass-shortfall-due-to-supply-challenges/article70440238.ece,Delhi,2025-12-27T14:03:30.748606+00:00
India asks neighbor to protect minorities,"It is the responsibility of Bangladesh’s interim government to maintain law and order amid unrest, India has said Read Full Article at RT.com",RT,2025-12-26T13:39:33Z,https://www.rt.com/india/630051-india-asks-neighbor-to-protect/,Delhi,2025-12-27T14:03:30.748611+00:00
PM Modi to chair Chief Secretaries’ conference over weekend,"PM Modi to chair Chief Secretaries' conference, focusing on human capital and inclusive growth for national development this weekend.",BusinessLine,2025-12-26T13:39:03Z,https://www.thehindubusinessline.com/news/national/pm-modi-to-chair-chief-secretaries-conference-over-weekend/article70440191.ece,Delhi,2025-12-27T14:03:30.748615+00:00
"Govt amends rules to streamline approvals for opening coal, lignite mines",The government has changed rules for opening coal and lignite mines. Prior approval from the Coal Controller's Organisation is no longer needed. Company boards will now approve mine openings. This change aims to speed up operations and boost coal production.,The Times of India,2025-12-26T13:38:54Z,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/govt-amends-rules-to-streamline-approvals-for-opening-coal-lignite-mines/articleshow/126191191.cms,Delhi,2025-12-27T14:03:30.748619+00:00
"Milk, ice, courage: Ferozepur’s 10-year-old honoured with Bal Puraskar for serving Army during Operation Sindoor",Sharvan Singh of Punjab’s Ferozepur district was among the 20 children honoured with the Pradhan Mantri Rashtriya Bal Puraskar by President Droupadi Murmu on Friday.,The Indian Express,2025-12-26T13:36:56Z,https://indianexpress.com/article/cities/chandigarh/erozepurs-10-year-honoured-bal-puraskar-serving-army-operation-sindoor-10440203/,Delhi,2025-12-27T14:03:30.748622+00:00
'Untenable': Govt Responds As Plea In Delhi HC Seeks GST On Air Purifiers Slashed To 5%,"Amid a rapidly deteriorating AQI in Delhi, the Central Government called a plea in the Delhi High Court seeking tax relief on air purifiers from 18% to 5% as ""untenable"" on Friday. The petition filed by advocate Kapil Madan maintained that air purifiers are b…",Ndtvprofit.com,2025-12-26T13:30:18Z,https://www.ndtvprofit.com/business/untenable-govt-responds-as-plea-in-delhi-hc-seeks-gst-on-air-purifiers-slashed-to-5,Delhi,2025-12-27T14:03:30.748626+00:00
Centre simplifies coal mine approvals by empowering company boards,"The Indian government has officially notified the Colliery Control (Amendment) Rules, 2025, to make it much easier to start coal mining operations. This new rule changes the law to allow the boards of coal companies to approve the opening of a mine, a seam, o…",Livemint,2025-12-26T13:29:51Z,https://www.livemint.com/companies/news/centre-simplifies-coal-mine-approvals-by-empowering-company-boards-11766755791677.html,Delhi,2025-12-27T14:03:30.748629+00:00
Virgin Atlantic to step up London–Bengaluru services next year,"Virgin Atlantic to increase London–Bengaluru flights from seven to 11 weekly, boosting capacity in response to strong demand.",BusinessLine,2025-12-26T13:29:24Z,https://www.thehindubusinessline.com/economy/logistics/virgin-atlantic-to-step-up-londonbengaluru-services-next-year/article70440102.ece,Delhi,2025-12-27T14:03:30.748632+00:00
"‘Groundless, irresponsible’: China denounces Pentagon report flagging Beijing interest in Arunachal Pradesh","Report distorts Beijing's defence policy; current border situation with India generally stable, says Chinese foreign ministry",The Indian Express,2025-12-26T13:28:48Z,https://indianexpress.com/article/india/china-pentagon-report-beijing-claim-arunachal-pradesh-10440428/,Delhi,2025-12-27T14:03:30.748636+00:00
HomeLane targets full-year profitability in FY26 as losses narrow,"The company reported revenue of ₹756 crore, a 22 per cent year-on-year growth, and turned EBITDA positive in the fourth quarter of FY25. Net losses declined to ₹80 crore from ₹121.7 crore a year earlier",BusinessLine,2025-12-26T13:25:50Z,https://www.thehindubusinessline.com/news/real-estate/homelane-targets-full-year-profitability-in-fy26-as-losses-narrow/article70440044.ece,Delhi,2025-12-27T14:03:30.748639+00:00
Indian govt’s ‘fully committed’ reaction to Lalit Modi-Vijay Mallya ‘fugitives’ viral clip,The reaction comes days after a new video of former IPL chairman Lalit Modi and fugitive businessman Vijay Mallya appeared on social media.,The Indian Express,2025-12-26T13:02:31Z,https://indianexpress.com/article/india/mea-reaction-lalit-modi-vijay-mallya-party-viral-video-10440241/,Delhi,2025-12-27T14:03:30.748642+00:00
"Arundhati Roy on New Memoir ""Mother Mary Comes to Me,"" Gaza & Authoritarianism from India to U.S.","In this holiday special, we speak to the acclaimed Indian writer Arundhati Roy on her new memoir, Mother Mary Comes to Me. The book focuses on her mother Mary Roy and how Arundhati was shaped by her, both as a source of terror and of inspiration. We also talk…",Democracy Now!,2025-12-26T13:01:30Z,https://www.democracynow.org/2025/12/26/arundhati_roy_on_new_memoir_mother,Delhi,2025-12-27T14:03:30.748645+00:00
Women’s safety in India: Between official data and lived reality in 2025,"India's women's safety challenges persist in 2025, with official crime data revealing only a fraction of the reality. Decades of reforms haven't erased gender inequality, social stigma, and uneven justice access, leaving many incidents unreported due to fear,…",The Times of India,2025-12-26T12:59:51Z,https://timesofindia.indiatimes.com/india/womens-safety-in-india-between-official-data-and-lived-reality-in-2025-year-ender/articleshow/126190067.cms,Delhi,2025-12-27T14:03:30.748648+00:00
"Megha Majumdar Explores Hope, Many Selves, And Urgent Questions","Megha Majumdar's new novel, 'A Guardian and a Thief’, is an Oprah's Book Club selection, a finalist for the National Book Award and the Kirkus Prize, and on the longlist for the American Library Association's Andrew Carnegie Medal. Her first book, 'A Burning’…",The Times of India,2025-12-26T12:50:53Z,https://timesofindia.indiatimes.com/india/megha-majumdar-explores-hope-many-selves-and-urgent-questions/articleshow/126190561.cms,Delhi,2025-12-27T14:03:30.748652+00:00
